idspec,idproducto,valor
161,9a41bbc9-42da-4ea3-8356-18aaaa099cf6,Compatible con AMD e Intel / Serie AMD 500 / Serie AMD 600 / AMD A520 / AMD B550 / AMD B650 / Compatible con AMD Ryzen / Memoria de alto rendimiento o para juegos / Serie Intel 500 / Serie Intel 600 / Serie Intel 700 / Intel B560 / Intel B660 / Intel B670 / Intel B760 / Compatible con Intel / Intel Z590 / Intel Z690 / Intel Z790
358,9a41bbc9-42da-4ea3-8356-18aaaa099cf6,Ninguno
291,9a41bbc9-42da-4ea3-8356-18aaaa099cf6,19 de enero de 2022
231,81acbf69-9f80-4c1b-b886-301694eb14f1,Escritorio
98,81acbf69-9f80-4c1b-b886-301694eb14f1,Core i5 de 12.ª generación
126,81acbf69-9f80-4c1b-b886-301694eb14f1,Núcleo i5-12400F
270,81acbf69-9f80-4c1b-b886-301694eb14f1,BX8071512400F
261,81acbf69-9f80-4c1b-b886-301694eb14f1,LGA 1700
363,81acbf69-9f80-4c1b-b886-301694eb14f1,Lago de aliso
72,81acbf69-9f80-4c1b-b886-301694eb14f1,6 núcleos
300,81acbf69-9f80-4c1b-b886-301694eb14f1,12 hilos
226,81acbf69-9f80-4c1b-b886-301694eb14f1,"2,5 GHz"
69,81acbf69-9f80-4c1b-b886-301694eb14f1,"4,4 GHz"
122,81acbf69-9f80-4c1b-b886-301694eb14f1,7.5MB
67,81acbf69-9f80-4c1b-b886-301694eb14f1,18 MB
348,81acbf69-9f80-4c1b-b886-301694eb14f1,Intel 7
323,81acbf69-9f80-4c1b-b886-301694eb14f1,Sí
176,81acbf69-9f80-4c1b-b886-301694eb14f1,Sí
302,81acbf69-9f80-4c1b-b886-301694eb14f1,DDR4 3200 / DDR5 4800
242,81acbf69-9f80-4c1b-b886-301694eb14f1,Dos
212,81acbf69-9f80-4c1b-b886-301694eb14f1,128 GB
289,81acbf69-9f80-4c1b-b886-301694eb14f1,"76,8 GB/s"
217,81acbf69-9f80-4c1b-b886-301694eb14f1,Sí
93,81acbf69-9f80-4c1b-b886-301694eb14f1,Ninguno Gráficos integrados
144,81acbf69-9f80-4c1b-b886-301694eb14f1,5.0 / 4.0 / 3.0
110,81acbf69-9f80-4c1b-b886-301694eb14f1,CPU PCIe 5.0 Carriles: 16CPU PCIe 4.0 Carriles: 4
94,81acbf69-9f80-4c1b-b886-301694eb14f1,Potencia base del procesador: 65WMaxima potencia turbo: 117W
296,81acbf69-9f80-4c1b-b886-301694eb14f1,Intel Laminar RM1
223,81acbf69-9f80-4c1b-b886-301694eb14f1,Windows 11
291,81acbf69-9f80-4c1b-b886-301694eb14f1,28 de diciembre de 2021
98,a01e636d-6bc2-413f-b035-687312b3dabb,Venganza RGB
270,a01e636d-6bc2-413f-b035-687312b3dabb,CMH32GX5M2E6000C36W
278,a01e636d-6bc2-413f-b035-687312b3dabb,CMH32GX5M2E6000C36W
190,a01e636d-6bc2-413f-b035-687312b3dabb,32 GB (2 x 16 GB)
292,a01e636d-6bc2-413f-b035-687312b3dabb,RAM de PC de 288 pines
366,a01e636d-6bc2-413f-b035-687312b3dabb,DDR5 6000 (PC5 48000)
182,a01e636d-6bc2-413f-b035-687312b3dabb,Treinta y seis
380,a01e636d-6bc2-413f-b035-687312b3dabb,36-44-44-96
372,a01e636d-6bc2-413f-b035-687312b3dabb,1.40V
53,a01e636d-6bc2-413f-b035-687312b3dabb,Kit de doble canal
312,a01e636d-6bc2-413f-b035-687312b3dabb,Intel XMP 3.0
221,a01e636d-6bc2-413f-b035-687312b3dabb,Blanco
91,a01e636d-6bc2-413f-b035-687312b3dabb,Sí
185,a01e636d-6bc2-413f-b035-687312b3dabb,"Welcome to the Cutting-Edge of Performance: Push the limits of your system like never before with CORSAIR DDR5 memory, unlocking even faster frequencies, greater capacities, and higher CPU processing.Dynamic Ten-Zone RGB Lighting: Illuminate your system with ten individually addressable, ultra-bright RGB LEDs per module, encased in a panoramic light bar for vivid RGB lighting from any viewing angle.Create and Customize: Choose from dozens of preset lighting profiles, or create your own in iCUE.Custom Intel XMP 3.0 Profiles: Customize and save your own XMP profiles via iCUE to tailor performance by app or task for greater efficiency.Maximum Bandwidth and Tight Response Times: Optimized for peak performance on the latest Intel DDR5 motherboards.Custom Performance PCB: Provides the highest signal quality for the greatest level of performance and stability.Tightly Screened Memory: Carefully screened memory chips for extended overclocking potential.Onboard Voltage Regulation: Enables easier, more finely-tuned, and more stable overclocking through CORSAIR iCUE software than previous generation motherboard control.Powerful CORSAIR iCUE Software: Dynamic RGB lighting control synchronized across your entire iCUE setup, real-time temperature and frequency readings, onboard voltage regulation, and custom XMP profiles.Stylish Solid Aluminum Heatspreader: Efficiently conducts heat away from your memory, with refined VENGEANCE styling to fit the look of modern systems."
161,a01e636d-6bc2-413f-b035-687312b3dabb,Intel series 600 y 700
358,a01e636d-6bc2-413f-b035-687312b3dabb,RGB
291,a01e636d-6bc2-413f-b035-687312b3dabb,16 de agosto de 2023
98,b295b5fa-d7e3-4c85-a229-0510c7ace670,Venganza RGB Pro
270,b295b5fa-d7e3-4c85-a229-0510c7ace670,CMW32GX4M2D3600C18
190,b295b5fa-d7e3-4c85-a229-0510c7ace670,32 GB (2 x 16 GB)
292,b295b5fa-d7e3-4c85-a229-0510c7ace670,RAM de PC de 288 pines
366,b295b5fa-d7e3-4c85-a229-0510c7ace670,DDR4 3600 (PC4 28800)
182,b295b5fa-d7e3-4c85-a229-0510c7ace670,Dieciocho
380,b295b5fa-d7e3-4c85-a229-0510c7ace670,18-22-22-42
372,b295b5fa-d7e3-4c85-a229-0510c7ace670,1.35V
312,b295b5fa-d7e3-4c85-a229-0510c7ace670,Intel XMP 2.0
221,b295b5fa-d7e3-4c85-a229-0510c7ace670,Negro
91,b295b5fa-d7e3-4c85-a229-0510c7ace670,Aluminio anodizado
185,b295b5fa-d7e3-4c85-a229-0510c7ace670,"Iluminación RGB dinámica multizona10 LED RGB ultrabrillantes por módulo. Software de próxima generaciónTome el control en el software CORSAIR iCUE y sincronice la iluminación con otros productos RGB de CORSAIR, incluidos refrigeradores de CPU, teclados y ventiladores. PCB de rendimiento personalizadoProporciona la más alta calidad de señal para el mayor nivel de rendimiento y estabilidad. Memoria con filtro estrictoCircuitos integrados cuidadosamente seleccionados para un mayor potencial de overclocking. Ancho de banda máximo y tiempos de respuesta ajustadosOptimizado para el máximo rendimiento en las últimas placas base DDR4 de Intel y AMD. No requiere cablesNo requiere cables o alambres adicionales para una instalación limpia y sin problemas. Máximo ancho de banda y tiempo de respuesta ajustadoOptimizado en las últimas placas base AMD e Intel DDR4. Soporta XMP 2.0Una sola configuración del BIOS es todo lo que se requiere para configurar su memoria a su configuración de rendimiento ideal, para un rendimiento óptimo."
161,b295b5fa-d7e3-4c85-a229-0510c7ace670,Intel Serie 300 / Intel Serie 400 / AMD e Intel Compatible / AMD Serie 300 / AMD Serie 400 / AMD Serie 500 / AMD TRX40 / AMD X570 / Intel Serie 500 / Intel Serie 600
358,b295b5fa-d7e3-4c85-a229-0510c7ace670,RGB
291,b295b5fa-d7e3-4c85-a229-0510c7ace670,26 de diciembre de 2019
270,21d9208b-7322-4540-a644-e2faedcbe048,X670 GAMING X AX V2
278,21d9208b-7322-4540-a644-e2faedcbe048,X670 GAMING X AX V2
261,21d9208b-7322-4540-a644-e2faedcbe048,AM5
64,21d9208b-7322-4540-a644-e2faedcbe048,"AMD Socket AM5, soporte para: Procesadores AMD Ryzen™ serie 7000 (consulte la ""Lista de soporte de CPU"" para obtener más información)."
284,21d9208b-7322-4540-a644-e2faedcbe048,AMD X670
237,21d9208b-7322-4540-a644-e2faedcbe048,4x288 pines (DDR5)
163,21d9208b-7322-4540-a644-e2faedcbe048,"Soporte para módulos de memoria DDR5 8000 (OC) / 7800 (OC) / 7600 (OC) / 7200 (OC) / 7000 (OC) / 6800 (OC) / 6600 (OC) / 6400 (OC) / 6200 (OC) / 6000 (OC) / 5600 (OC) / 5200/4800 / 4400 MT / s4 x zócalos DIMM DDR5 que admiten hasta 192 GB (capacidad DIMM única de 48 GB) de memoria del sistemaArquitectura de memoria de doble canalSoporte para módulos de memoria DIMM 1Rx8/2Rx8/1Rx16 sin búfer no ECConsideración de AMD EXtended Profiles for Overclocking (AMD EXPO)™ y Extreme Memory Profile (XMP) (El La configuración de la CPU y la memoria puede afectar a los tipos de memoria admitidos, la velocidad de datos (velocidad) y el número de módulos DRAM, consulte ""Lista de compatibilidad con memoria"" para obtener más información)."
25,21d9208b-7322-4540-a644-e2faedcbe048,192 GRAMOS
228,21d9208b-7322-4540-a644-e2faedcbe048,Doble canal
66,21d9208b-7322-4540-a644-e2faedcbe048,No ECC
140,21d9208b-7322-4540-a644-e2faedcbe048,"1 ranura PCI Express x16, compatible con PCIe 4.0 y con capacidad para x16 (PCIEX16)* Para obtener un rendimiento óptimo, si solo se va a instalar una tarjeta gráfica PCI Express, asegúrese de instalarla en la ranura PCIEX16."
105,21d9208b-7322-4540-a644-e2faedcbe048,"1 ranura PCI Express x16, compatible con PCIe 3.0 y con ejecución x4 (PCIEX4)1 ranura PCI Express x16, compatible con PCIe 3.0 y con ejecución x2 (PCIEX2)"
229,21d9208b-7322-4540-a644-e2faedcbe048,4 x SATA de 6 Gb/s
255,21d9208b-7322-4540-a644-e2faedcbe048,"1 conector M.2 (Zócalo 3, llave M, tipo 25110/2280 PCIe 5.0 (Nota) Compatibilidad con SSD x4/x2) (M2A_CPU)(Nota) La compatibilidad real puede variar según la CPU.1 conector M.2 (Zócalo 3, clave M, tipo 22110/2280 Compatibilidad con SSD PCIe 4.0 x4/x2) (M2B_CPU)Chipset:2 conectores M.2 (Zócalo 3, clave M, tipo 22110/2280 Compatibilidad con SSD PCIe 4.0 x4/x2) (M2C_SB,  M2D_SB)4 x Conectores SATA 6Gb/s"
55,21d9208b-7322-4540-a644-e2faedcbe048,"Compatibilidad con RAID 0, RAID 1 y RAID 10 para dispositivos de almacenamiento SSD NVMeCompatibilidad con RAID 0, RAID 1 y RAID 10 para dispositivos de almacenamiento SATA"
76,21d9208b-7322-4540-a644-e2faedcbe048,"Realtek® Audio CODECondice de alta definición2/4/5.1/7.1 canales* Puede cambiar la funcionalidad de un conector de audio utilizando el software de audio. Para configurar el audio de 7.1 canales, acceda al software de audio para conocer los ajustes de audio."
127,21d9208b-7322-4540-a644-e2faedcbe048,"Chip LAN Realtek® de 2,5 GbE (2,5 Gbps/1 Gbps/100 Mbps)"
97,21d9208b-7322-4540-a644-e2faedcbe048,"Realtek® Wi-Fi 6E RTL8852CEWIFI a, b, g, n, ac, ax, compatible con bandas de frecuencia portadora de 2.4 / 5 / 6 GHzBLUETOOTH 5.3 Soporte para el estándar inalámbrico 11ax 160MHz (la velocidad de datos real puede variar según el entorno y el equipo)."
267,21d9208b-7322-4540-a644-e2faedcbe048,Sí
317,21d9208b-7322-4540-a644-e2faedcbe048,"1 x Botón Q-Flash Plus2 x Conectores de antena SMA (2T2R)1 x Puerto HDMI6 x Puertos USB 3.2 Gen 14 x Puertos USB 2.0/1.12 x Puertos USB 3.2 Gen 2 Tipo-A (rojo)1 x Puerto USB Tipo-C®, con soporte USB 3.2 Gen 2x21 x Puerto RJ-453 x Conectores de audio"
21,21d9208b-7322-4540-a644-e2faedcbe048,"1 conector de alimentación principal ATX de 24 pines2 conectores de alimentación ATX de 12 V de 8 pines1 x cabezal de ventilador de CPU1 cabezal de ventilador de CPU/bomba de refrigeración por agua3 x cabezales de ventilador de sistema3 x cabezales de tira de LED RGB Gen2 direccionables1 x cabezal de tira de LED RGB4 conectores SATA de 6 Gb/s4 x conector M.2 Socket 3 conectores1 x cabezal del panel frontal1 x cabezal de audio del panel frontal1 x cabezal USB tipo C®,  compatible con USB 3.2 Gen 2x22 x Cabeceras USB 3.2 Gen 12 x Cabeceras USB 2.0/1.11 x Conector de tarjeta complementaria THB_U4 1 x Encabezado del módulo de plataforma segura (solo para el módulo GC-TPM2.0 SPI/GC-TPM2.0 SPI 2.0/ GC-TPM2.0 SPI V2)1 x botón de encendido1 x botón de reinicio1 x Botón Clear CMOS1 x Puente de reinicio1 x Puente Clear CMOS"
138,21d9208b-7322-4540-a644-e2faedcbe048,Factor de forma ATX;
368,21d9208b-7322-4540-a644-e2faedcbe048,"30,5 cm x 24,4 cm"
268,21d9208b-7322-4540-a644-e2faedcbe048,Compatibilidad con Windows 11 de 64 bitsCompatibilidad con Windows 10 de 64 bits
185,21d9208b-7322-4540-a644-e2faedcbe048,"AMD Socket AM5: Compatible con los procesadores AMD Ryzen™ serie 7000Rendimiento incomparable: Solución VRM digital doble de 14 * + 2 + 2 fasesDDR5 de doble canal: 4 * SMD DIMM con AMD EXPO™ y soporte de módulo de memoria Intel® XMPato de próxima generación: 1 * PCIe 5.0 x4 y 3 * PCIe 4.0 x4 Conectores M.2Mega-Heatpipe y M.2 Thermal Guard: Para garantizar la estabilidad de la energía VRM y 25110 PCIe 5.0 M.2 SSD PerformanceEZ-Latch: Ranura PCIe x16 y conectores M.2 con liberación rápida y diseño sin tornillosRedes rápidas: LAN de 2.5GbE y Wi-Fi 6E 802.11axConectividad extendida: HDMI, USB-C® dual de 20 Gbps y próximo soporte para USB4 AIC de GIGABYTEventilador inteligente 6: Cuenta con múltiples sensores de temperatura, cabezales de ventilador híbridos con FAN STOPQ-Flash Plus: Actualice el BIOS sin instalar la CPU, la memoria y la tarjeta gráfica* Diseño de alimentación paralela de 7 + 7 fases"
291,21d9208b-7322-4540-a644-e2faedcbe048,17 de noviembre de 2023
98,00da8000-4666-4b7c-afc5-0f1b4e3b53f1,T-FORCE G50
270,00da8000-4666-4b7c-afc5-0f1b4e3b53f1,TM8FFE001T0C129
356,00da8000-4666-4b7c-afc5-0f1b4e3b53f1,Unidad interna de estado sólido (SSD)
88,00da8000-4666-4b7c-afc5-0f1b4e3b53f1,Consumidor
138,00da8000-4666-4b7c-afc5-0f1b4e3b53f1,M.2 2280
190,00da8000-4666-4b7c-afc5-0f1b4e3b53f1,1 TB
384,00da8000-4666-4b7c-afc5-0f1b4e3b53f1,TLC
168,00da8000-4666-4b7c-afc5-0f1b4e3b53f1,PCIe 4.0 x4 con NVMe 1.4
25,00da8000-4666-4b7c-afc5-0f1b4e3b53f1,NVMe 1.4
13,00da8000-4666-4b7c-afc5-0f1b4e3b53f1,InnoGrit
84,00da8000-4666-4b7c-afc5-0f1b4e3b53f1,Hasta 5000 MBps
260,00da8000-4666-4b7c-afc5-0f1b4e3b53f1,Hasta 4800 MBps
80,00da8000-4666-4b7c-afc5-0f1b4e3b53f1,650 TB
321,00da8000-4666-4b7c-afc5-0f1b4e3b53f1,con disipador de calor
185,00da8000-4666-4b7c-afc5-0f1b4e3b53f1,Una nueva opción para la actualización de juegosSoluciones de controlador preestablecidasDiferentes sistemas de clasificación de almacenamiento en caché ofrecidos para cubrir las necesidades de los usuariosEl disipador de calor de grafeno patentado ultradelgado hace que las instalaciones sean indolorasOperación de rendimiento optimizada que equilibra la confiabilidad y la vida útilSistema inteligente de monitoreo del estado del productoUn protector ambientalDisipador de calor de grafeno patentado
131,00da8000-4666-4b7c-afc5-0f1b4e3b53f1,0°C ~ +70°C
159,00da8000-4666-4b7c-afc5-0f1b4e3b53f1,-40 °C ~ +85 °C
40,00da8000-4666-4b7c-afc5-0f1b4e3b53f1,HR 90% por debajo de 40 °C (operativo)
200,00da8000-4666-4b7c-afc5-0f1b4e3b53f1,"1.500 G/0,5 ms"
256,00da8000-4666-4b7c-afc5-0f1b4e3b53f1,80Hz~2.000Hz/20G
32,00da8000-4666-4b7c-afc5-0f1b4e3b53f1,"2,25 mm"
82,00da8000-4666-4b7c-afc5-0f1b4e3b53f1,22 milímetros
187,00da8000-4666-4b7c-afc5-0f1b4e3b53f1,80 mm
120,00da8000-4666-4b7c-afc5-0f1b4e3b53f1,7 g
291,00da8000-4666-4b7c-afc5-0f1b4e3b53f1,15 de marzo de 2024
231,226281bb-c838-4133-80ed-b11a61d491e0,Escritorio
98,226281bb-c838-4133-80ed-b11a61d491e0,Serie Ryzen 7 5000
126,226281bb-c838-4133-80ed-b11a61d491e0,Ryzen 7 5700X
270,226281bb-c838-4133-80ed-b11a61d491e0,100-100000926WOF
261,226281bb-c838-4133-80ed-b11a61d491e0,Zócalo AM4
363,226281bb-c838-4133-80ed-b11a61d491e0,Vermeer (Zen 3)
72,226281bb-c838-4133-80ed-b11a61d491e0,8 núcleos
300,226281bb-c838-4133-80ed-b11a61d491e0,16 hilos
226,226281bb-c838-4133-80ed-b11a61d491e0,"3,4 GHz"
69,226281bb-c838-4133-80ed-b11a61d491e0,"4,6 GHz"
322,226281bb-c838-4133-80ed-b11a61d491e0,512KB
122,226281bb-c838-4133-80ed-b11a61d491e0,4 MB
67,226281bb-c838-4133-80ed-b11a61d491e0,32 MB
348,226281bb-c838-4133-80ed-b11a61d491e0,7nm
323,226281bb-c838-4133-80ed-b11a61d491e0,Sí
302,226281bb-c838-4133-80ed-b11a61d491e0,DDR4 3200
242,226281bb-c838-4133-80ed-b11a61d491e0,Dos
93,226281bb-c838-4133-80ed-b11a61d491e0,Ninguno Gráficos integrados
144,226281bb-c838-4133-80ed-b11a61d491e0,4.0 / 3.0
94,226281bb-c838-4133-80ed-b11a61d491e0,65W
296,226281bb-c838-4133-80ed-b11a61d491e0,Dispositivo de enfriamiento no incluido - Solo procesador
223,226281bb-c838-4133-80ed-b11a61d491e0,Windows 11
291,226281bb-c838-4133-80ed-b11a61d491e0,25 de marzo de 2022
98,9166615d-13d9-439a-ae0e-35e5faa21e5a,MP44L
270,9166615d-13d9-439a-ae0e-35e5faa21e5a,TM8FPK002T0C101
88,9166615d-13d9-439a-ae0e-35e5faa21e5a,Consumidor
138,9166615d-13d9-439a-ae0e-35e5faa21e5a,M.2 2280
190,9166615d-13d9-439a-ae0e-35e5faa21e5a,2 TB
168,9166615d-13d9-439a-ae0e-35e5faa21e5a,PCIe 4.0 x4 con NVMe 1.4
25,9166615d-13d9-439a-ae0e-35e5faa21e5a,NVMe 1.4
84,9166615d-13d9-439a-ae0e-35e5faa21e5a,Hasta 4800 MBps
260,9166615d-13d9-439a-ae0e-35e5faa21e5a,Hasta 4400 MBps
33,9166615d-13d9-439a-ae0e-35e5faa21e5a,Hasta 525 000 IOPS
62,9166615d-13d9-439a-ae0e-35e5faa21e5a,Hasta 550 000 IOPS
80,9166615d-13d9-439a-ae0e-35e5faa21e5a,1200 TB
327,9166615d-13d9-439a-ae0e-35e5faa21e5a,1.500.000 horas
185,9166615d-13d9-439a-ae0e-35e5faa21e5a,"TEAMGROUP MP44L M.2 PCIe SSD adopta la interfaz PCIe Gen4x4. En comparación con el PCIe Gen3, el rendimiento es más del doble. Las velocidades de lectura/escritura alcanzan hasta 5.000 / 4.500 MB/s, mejorando drásticamente la eficiencia del trabajo. Es el primer producto que incorpora una etiqueta de disipador de calor que utiliza un recubrimiento de grafeno único sobre papel de aluminio para mejorar aún más el rendimiento de disipación de calor. Es compatible con el software de monitoreo S.M.A.R.T., la opción de optimización TRIM de Windows y la tecnología LDPC simultáneamente."
131,9166615d-13d9-439a-ae0e-35e5faa21e5a,0°C ~ +70°C
159,9166615d-13d9-439a-ae0e-35e5faa21e5a,-40 °C ~ +85 °C
40,9166615d-13d9-439a-ae0e-35e5faa21e5a,HR 90% por debajo de 40 °C (operativo)
200,9166615d-13d9-439a-ae0e-35e5faa21e5a,"1.500 G/0,5 ms"
256,9166615d-13d9-439a-ae0e-35e5faa21e5a,80Hz~2.000Hz/20G
32,9166615d-13d9-439a-ae0e-35e5faa21e5a,"2,25 mm"
82,9166615d-13d9-439a-ae0e-35e5faa21e5a,22 milímetros
187,9166615d-13d9-439a-ae0e-35e5faa21e5a,80 mm
120,9166615d-13d9-439a-ae0e-35e5faa21e5a,7 g
291,9166615d-13d9-439a-ae0e-35e5faa21e5a,16 de noviembre de 2022
98,7522cfba-d089-4590-861f-c20c3f4a2a6c,ROG
270,7522cfba-d089-4590-861f-c20c3f4a2a6c,ROG STRIX B650E-I GAMING WIFI
278,7522cfba-d089-4590-861f-c20c3f4a2a6c,90MB1BI0-M0AAY0
261,7522cfba-d089-4590-861f-c20c3f4a2a6c,AM5
64,7522cfba-d089-4590-861f-c20c3f4a2a6c,Compatible con los procesadores de escritorio AMD Ryzen serie 7000** Consulte www.asus.com para obtener información sobre la lista de compatibilidad con CPU.
284,7522cfba-d089-4590-861f-c20c3f4a2a6c,AMD B650E
237,7522cfba-d089-4590-861f-c20c3f4a2a6c,2x288 pines (DDR5)
163,7522cfba-d089-4590-861f-c20c3f4a2a6c,"DDR5 6400 + (OC) / 6200 (OC) / 6000 (OC) / 5800 (OC) / 5600 (OC) / 5400 (OC) / 5200 / 5000 / 4800MHz ECC y no ECC, memoria sin búfer*"
25,7522cfba-d089-4590-861f-c20c3f4a2a6c,256 GRAMOS
228,7522cfba-d089-4590-861f-c20c3f4a2a6c,Doble canal
66,7522cfba-d089-4590-861f-c20c3f4a2a6c,Sí
197,7522cfba-d089-4590-861f-c20c3f4a2a6c,Sin búfer
189,7522cfba-d089-4590-861f-c20c3f4a2a6c,"Compatible con AMD EXTended Profiles for Overclocking (EXPO)OptiMem II * Los tipos de memoria admitidos, la velocidad de datos (velocidad) y el número de módulos DRAM varían según la configuración de la CPU y la memoria, para obtener más información, consulte www.asus.com para obtener información sobre la lista de compatibilidad con memoria. * La memoria DDR5 sin búfer y no ECC es compatible con la función ECC en el chip"
204,7522cfba-d089-4590-861f-c20c3f4a2a6c,"1 x ranura PCIe 5.0 x16** Consulte la tabla de bifurcación PCIe en el sitio de soporte (https://www.asus.com/support/FAQ/1037507/).- Para garantizar la compatibilidad del dispositivo instalado, consulte https://www.asus.com/support/ para obtener la lista de periféricos compatibles."
229,7522cfba-d089-4590-861f-c20c3f4a2a6c,2 x SATA 6Gb/s
255,7522cfba-d089-4590-861f-c20c3f4a2a6c,"Ranura para ProcessorsM.2_1 de escritorio AMD Ryzen serie 7000 (clave M), tipo 2242/2260/2280 (compatible con el modo PCIe 5.0 x4)M.2_2 ranura (clave M), tipo 2242/2260/2280 (compatible con el modo PCIe 4.0 x4)*La tecnología AMD RAIDXpert2 es compatible tanto con PCIe RAID 0/1 como con SATA RAID 0/1."
55,7522cfba-d089-4590-861f-c20c3f4a2a6c,La tecnología AMD RAIDXpert2 es compatible tanto con PCIe RAID 0/1 como con SATA RAID 0/1.
34,7522cfba-d089-4590-861f-c20c3f4a2a6c,Realtek ALC4080
76,7522cfba-d089-4590-861f-c20c3f4a2a6c,"ROG SupremeFX 7.1 Sonido envolvente Códec de audio de alta definición ALC4080- Sensor de impedancia para salidas de auriculares delanteras y traseras- Compatibles: Detección de conectores, Multi-streaming, reasignación de conectores en el panel frontal- Salida de reproducción estéreo SNR de 120 dB de alta calidad y entrada de grabación SNR de 113 dB- Admite reproducción de hasta 32 bits/384 kHzFunciones de audio - Blindaje de audio - Savitech SV3H712 AMP - Conectores de audio iluminados por LED- Puerto de salida óptico S/PDIF trasero- Condensadores de audio premium"
127,7522cfba-d089-4590-861f-c20c3f4a2a6c,1 x Intel 2.5Gb EthernetASUS LANGuard
97,7522cfba-d089-4590-861f-c20c3f4a2a6c,"Wi-Fi 6E2x2 Wi-Fi 6E (802.11 a/b/g/n/ac/ax) Admite la banda de frecuencia de 2,4/5/6 GHz** La normativa de WiFi 6E a 6 GHz puede variar de un país a otro."
267,7522cfba-d089-4590-861f-c20c3f4a2a6c,"Bluetooth v5.2**** La versión de Bluetooth puede variar, consulte el sitio web del fabricante del módulo Wi-Fi para conocer las especificaciones más recientes."
317,7522cfba-d089-4590-861f-c20c3f4a2a6c,"1 puerto USB 3.2 Gen 2x2 (1 USB Tipo-C)5 puertos USB 3.2 Gen 2 (4 x Tipo-A + 1 x USB Tipo-C con modo DP Alt)2 puertos USB 2.0 (2 x Tipo-A) 1 puerto HDMI1 x Módulo Wi-Fi1 x Puerto Intel Ethernet de 2,5 Gb3 x Conectores de audio iluminados por LED1 x Puerto de salida óptico S/PDIF1 x Botón BIOS FlashBack 1 x Botón FlexKey"
251,7522cfba-d089-4590-861f-c20c3f4a2a6c,1 conector USB 3.2 Gen 2 1 conector USB 3.2 Gen 1 compatible con 2 puertos USB 3.2 Gen 1 adicionales1 conector USB 2.0 compatible con 2 puertos USB 2.0 adicionales
21,7522cfba-d089-4590-861f-c20c3f4a2a6c,Relacionado con el ventilador y la refrigeración 1 x CPU de 4 pines Cabezal de ventilador1 x Cabezal de bomba AIO de 4 pines1 x Chasis de 4 pines Cabezal del ventiladorRelacionado con el almacenamiento 2 x Ranuras M.2 (Clave M) 2 puertos SATA de 6 Gb/sVarios1 x Encabezado Gen 2 direccionable1 x Encabezado AURA RGB1 x Encabezado CMOS borrable1 x Puente de sobrevoltaje de CPU1 x 12-1 pin Encabezado de audio del panel frontal (AAFP)1 x 10-1 pin Encabezado del panel del sistema1 x Cabezal del sensor térmico
138,7522cfba-d089-4590-861f-c20c3f4a2a6c,Mini ITX
368,7522cfba-d089-4590-861f-c20c3f4a2a6c,"6.7"" x 6.7"" (17 cm x 17 cm)"
266,7522cfba-d089-4590-861f-c20c3f4a2a6c,1 conector de alimentación principal de 24 pines1 conector de alimentación de 8 pines +12 V
268,7522cfba-d089-4590-861f-c20c3f4a2a6c,Soportado
185,7522cfba-d089-4590-861f-c20c3f4a2a6c,"Condensadores metálicos negros Extreme Engine Digi+-5K ASUS Q-Design - M.2 Q-Latch- Q-DIMM- Q-LED (CPU [rojo], DRAM [amarillo], VGA [blanco], dispositivo de arranque [amarillo verde])- Q-SlotASUS Thermal Solution- Placa posterior del disipador de calor M.2- Disipador de calor M.2- Diseño de disipador de calor VRMASUS EZ DIY- Botón BIOS FlashBack- BIOS FlashBack LED- ProCool- Escudo de E/S premontado- SafeSlot- SafeDIMMAURA Sync- Encabezado AURA RGB- Encabezado Gen 2 direccionable"
281,7522cfba-d089-4590-861f-c20c3f4a2a6c,Cables2 x Cables SATA 6Gb/s 1 x Cable divisor ROG USB2.01 x Cable de panelKit de refrigeración adicional1 x Almohadilla térmica para M.2Varios1 x Antenas móviles ASUS Wi-Fi 1 x Paquete de bridas para cables1 x Soporte M.21 x Paquete de tornillos SSD M.21 x Paquete M.2 Q-Latch para placa trasera M.21 x Llavero ROG1 x Pegatina ROG Strix1 x Tarjeta de agradecimiento ROG Strix1 x Paquete de goma para placa trasera M.2Documentación1 x Guía del usuario
291,7522cfba-d089-4590-861f-c20c3f4a2a6c,02 de noviembre de 2022
270,143baf55-f8df-4edc-a06b-781e3dcbb852,B650M PG RIPTIDE WIFI
261,143baf55-f8df-4edc-a06b-781e3dcbb852,AM5
64,143baf55-f8df-4edc-a06b-781e3dcbb852,Compatible con los procesadores AMD Ryzen serie 7000
284,143baf55-f8df-4edc-a06b-781e3dcbb852,AMD B650
237,143baf55-f8df-4edc-a06b-781e3dcbb852,4x288 pines (DDR5)
163,143baf55-f8df-4edc-a06b-781e3dcbb852,"Soporta memoria DDR5 no ECC, sin búfer de hasta 6200+(OC)"
25,143baf55-f8df-4edc-a06b-781e3dcbb852,128 GB
228,143baf55-f8df-4edc-a06b-781e3dcbb852,Doble canal
66,143baf55-f8df-4edc-a06b-781e3dcbb852,Sí
197,143baf55-f8df-4edc-a06b-781e3dcbb852,Sin búfer
189,143baf55-f8df-4edc-a06b-781e3dcbb852,Compatible con los módulos de memoria Extreme Memory Profile (XMP) y EXTended Profiles for Overclocking (EXPO)* Consulte la lista de soporte de memoria en el sitio web de ASRock para obtener más información. (http://www.asrock.com/)
